Symbol,Name
ADANIENT,"	Adani Enterprises Limited"
ADANIPOWER,"	Adani Power Limited"
ASIANPAINT,"	Asian Paints Ltd."
GAIL,"	GAL (India) Limited"
HDFCBANK,HDFC Bank Ltd
HINDUNILVR,"	Hindustan Unilever Limited"
ICICIBANK,ICICI Bank Ltd
INFY,Infosys Ltd
IOC,"	Indian Oil Corp. Ltd."
IRCTC,"	Indian Railway Catering & Tourism Corp. Ltd."
ITC,"	ITC Limited"
JIOFIN,"	Jio Financial Services Limited"
LT,"	Larsen & Toubro Limited"
OIL,"	Oil India Limited"
PFC,"	Power Finance Corporation Limited"
RELIANCE,Reliance Industries Ltd
SAIL,"	Steel Authority of India Limited"
SBIN,"	State Bank of India"
TATAMOTORS,"	Tata Motors Limited"
TATASTEEL,"	Tata Steel Limited"
TCS,Tata Consultancy Services Ltd
VEDL,"	Vedanta Limited"